ALPHA:0.25, BETA: 0.25, GAMMA:0.25, DELTA:0.25
53.90877392727531

ALPHA:0.25, BETA: 0.25, GAMMA:0.25, DELTA:0.5
45.261509997865225

ALPHA:0.25, BETA: 0.25, GAMMA:0.25, DELTA:0.75
38.721732014516476

ALPHA:0.25, BETA: 0.25, GAMMA:0.25, DELTA:1
34.243826940866725

ALPHA:0.25, BETA: 0.25, GAMMA:0.5, DELTA:0.25
46.805593111791076

ALPHA:0.25, BETA: 0.25, GAMMA:0.5, DELTA:0.5
41.72208781043194

ALPHA:0.25, BETA: 0.25, GAMMA:0.5, DELTA:0.75
36.89020138048815

ALPHA:0.25, BETA: 0.25, GAMMA:0.5, DELTA:1
33.30068312815769

ALPHA:0.25, BETA: 0.25, GAMMA:0.75, DELTA:0.25
39.32391660143742

ALPHA:0.25, BETA: 0.25, GAMMA:0.75, DELTA:0.5
38.26097630399203

ALPHA:0.25, BETA: 0.25, GAMMA:0.75, DELTA:0.75
35.476908845086456

ALPHA:0.25, BETA: 0.25, GAMMA:0.75, DELTA:1
32.76407172845656

ALPHA:0.25, BETA: 0.25, GAMMA:1, DELTA:0.25
33.53853269764463

ALPHA:0.25, BETA: 0.25, GAMMA:1, DELTA:0.5
34.63061268056643

ALPHA:0.25, BETA: 0.25, GAMMA:1, DELTA:0.75
33.70810503095424

ALPHA:0.25, BETA: 0.25, GAMMA:1, DELTA:1
32.01384046111151

ALPHA:0.25, BETA: 0.5, GAMMA:0.25, DELTA:0.25
49.41709955169715

ALPHA:0.25, BETA: 0.5, GAMMA:0.25, DELTA:0.5
43.110794848075145

ALPHA:0.25, BETA: 0.5, GAMMA:0.25, DELTA:0.75
37.61257382765246

ALPHA:0.25, BETA: 0.5, GAMMA:0.25, DELTA:1
33.67245428022487

ALPHA:0.25, BETA: 0.5, GAMMA:0.5, DELTA:0.25
44.23745819397993

ALPHA:0.25, BETA: 0.5, GAMMA:0.5, DELTA:0.5
40.54557745677079

ALPHA:0.25, BETA: 0.5, GAMMA:0.5, DELTA:0.75
36.312033017860955

